3,2,9.53,20911.578203,5.8890
4,2,9.53,26746.805359,6.4800
4,3,9.53,28236.986282,7.4204
5,2,9.32,33752.872437,7.8461
5,3,9.67,34710.829477,8.0365
5,4,9.68,34497.913363,8.4057
6,2,9.61,41594.310560,9.6565
6,3,9.66,41929.779562,9.6565
6,4,10.06,42355.479612,9.6565
6,5,10.13,42036.138485,10.0257
7,2,9.50,48297.098673,11.2766
7,3,10.06,49468.004684,11.1496
7,4,9.90,50851.859667,11.3400
7,5,10.46,53087.246677,11.3400
7,6,10.00,49593.746592,11.6458
8,2,9.66,55406.364763,12.8966
8,3,10.06,57219.178778,12.8331
8,4,10.90,60093.247791,13.5934
8,5,10.39,60731.731903,13.6568
8,6,9.46,58815.784840,12.9600
8,7,9.99,56154.697653,13.2658
9,2,10.49,62515.666834,15.3004
9,3,10.39,68224.997915,15.3005
9,4,10.32,67418.655870,15.3639
9,5,11.74,69228.177921,15.1101
9,6,10.40,67631.439932,15.3639
9,7,10.99,67205.706900,15.1736
9,8,11.74,63692.889793,15.6831
10,2,10.45,69421.658955,17.0710
10,3,11.01,73785.810072,16.9441
10,4,11.06,76127.787004,16.9441
10,5,11.22,78043.865995,17.0722
10,6,11.05,77298.725998,16.9441
10,7,10.76,75063.371969,17.0710
10,8,10.90,72427.825054,17.0710
10,9,10.52,71021.457909,17.1323
11,2,10.47,76430.935041,18.7781
11,3,10.76,81643.508123,18.7781
11,4,11.10,87284.957283,18.7147
11,5,12.47,94416.752401,18.7781
11,6,11.00,92713.655363,18.5878
11,7,12.60,97077.740517,18.7781
11,8,11.27,90797.675318,18.7147
11,9,11.17,81324.101158,18.7146
11,10,11.56,78437.129019,19.0297
